Episode,Date,Artist,Song,Points,Ref.
961,January 4,Exo,"""Tempo""","9,055",
962,January 11,Winner,"""Millions""","3,382",
963,January 18,Chungha,"""Gotta Go""","4,824",
964,January 25,GFriend,"""Sunrise""","5,600",
965,February 1,Seventeen,"""Home""","9,466",
966,February 8,Seventeen,"""Home""","4,017",
967,February 15,Seventeen,"""Home""","5,249",
968,February 22,Taemin,"""Want""","7,141",
969,March 1,Monsta X,"""Alligator""","6,922",
970,March 8,Itzy,"""Dalla Dalla""","5,104",
971,March 15,Itzy,"""Dalla Dalla""","4,405",
972,March 22,Epik High,"""Love Drunk""","4,397",
973,March 29,Mamamoo,"""Gogobebe""","4,691",
974,April 5,Park Ji-hoon,"""L.O.V.E""","6,030",
975,April 12,Iz*One,"""Violeta""","7,238",
976,April 19,BTS,"""Boy with Luv""","11,231",
977,April 26,BTS,"""Boy with Luv""","13,007",
978,May 3,BTS,"""Boy with Luv""","7,397",
979,May 10,NU'EST,"""Bet Bet""","8,586",
980,May 17,BTS,"""Boy with Luv""","6,092",
981,May 24,BTS,"""Boy with Luv""","7,662",
982,May 31,Got7,"""Eclipse""","5,101",
—,June 7,NCT 127,"""Superhuman""","4,458",
983,June 14,BTS,"""Boy with Luv""","4,591",
984,June 21,BTS,"""Boy with Luv""","4,427",
985,June 28,Red Velvet,"""Zimzalabim""","4,868",
986,July 5,Chungha,"""Snapping""","5,592",
987,July 12,GFriend,"""Fever""","5,014",
988,July 19,Baekhyun,"""UN Village""","8,401",
989,July 26,Baekhyun,"""UN Village""","6,266",
990,August 2,Exo-SC,"""What a Life""","7,164",
991,August 9,Kang Daniel,"""What Are You Up To""","8,177",
992,August 16,Itzy,"""Icy""","4,440",
993,August 23,Itzy,"""Icy""","4,094",
994,August 30,Red Velvet,"""Umpah Umpah""","4,898",
995,September 6,X1,"""Flash""","9,021",
—,September 13,X1,"""Flash""","6,407",
996,September 20,Bolbbalgan4,"""Workaholic""","3,539",
997,September 27,Seventeen,"""Fear""","11,565",
998,October 4,Twice,"""Feel Special""","8,821",
999,October 11,Chen,"""Shall We?""","7,161",
"1,000",October 18,AKMU,"""How Can I Love the Heartbreak, You're the One I Love""","5,190",
"1,001",October 25,Super Junior,"""Super Clap""","8,514",
"1,002",November 1,NU'EST,"""Love Me""","6,660",
"1,003",November 8,Taeyeon,"""Spark""","6,104",
"1,004",November 15,Got7,"""You Calling My Name""","5,937",
"1,005",November 22,Mamamoo,"""Hip""","5,163",
"1,006",November 29,IU,"""Love Poem""","8,329",
"1,007",December 6,Exo,"""Obsession""","8,970",
"1,008",December 13,Exo,"""Obsession""","5,716",
"1,009",December 20,IU,"""Blueming""","4,527",
—,December 27,IU,"""Blueming""","4,116",
