Episode,Date,Artist,Song,Points,Ref.
—,January 1,Exo,"""Sing for You""","4,893",
818,January 8,BTS,"""Run""","4,765",
819,January 15,Suzy & Baekhyun,"""Dream""","4,229",
820,January 22,Suzy & Baekhyun,"""Dream""","8,391",
821,January 29,Teen Top,"""Warning Sign""","7,128",
822,February 5,GFriend,"""Rough""","6,605",
823,February 12,GFriend,"""Rough""","6,823",
824,February 19,GFriend,"""Rough""","6,377",
825,February 26,GFriend,"""Rough""","6,215",
826,March 4,Taemin,"""Press Your Number""","6,229",
827,March 11,Mamamoo,"""You're the Best""","7,370",
828,March 18,Mamamoo,"""You're the Best""","5,537",
829,March 25,Red Velvet,"""One of These Nights""","6,427",
830,April 1,Got7,"""Fly""","6,967",
831,April 8,BtoB,"""Remember That (Spring Memories)""","6,140",
832,April 15,CNBLUE,"""You're So Fine""","5,763",
833,April 22,CNBLUE,"""You're So Fine""","4,974",
834,April 29,VIXX,"""Dynamite""","6,262",
835,May 6,Twice,"""Cheer Up""","8,079",
836,May 13,BTS,"""Fire""","8,869",
837,May 20,Twice,"""Cheer Up""","6,535",
838,May 27,Twice,"""Cheer Up""","6,350",
839,June 3,Twice,"""Cheer Up""","6,535",
840,June 10,Twice,"""Cheer Up""","5,734",
841,June 17,Exo,"""Monster""","11,570",
842,June 24,Exo,"""Monster""","10,188",
843,July 1,Exo,"""Monster""","7,837",
844,July 8,Taeyeon,"""Starlight""","8,425",
845,July 15,Beast,"""Ribbon""","6,539",
846,July 22,GFriend,"""Navillera""","6,851",
847,July 29,GFriend,"""Navillera""","6,648",
848,August 5,Wonder Girls,"""Why So Lonely""","6,284",
849,August 12,GFriend,"""Navillera""","6,499",
850,August 19,I.O.I,"""Whatta Man (Good Man)""","7,128",
851,August 26,Exo,"""Lotto""","8,574",
852,September 2,Exo,"""Lotto""","7,151",
853,September 9,Han Dong-geun,"""Making a New Ending for This Story""","6,421",
—,September 16,Im Chang-jung,"""The Love That I Committed""","9,813",
854,September 23,Im Chang-jung,"""The Love That I Committed""","10,315",
855,September 30,Infinite,"""The Eye""","9,129",
856,October 7,Got7,"""Hard Carry""","7,438",
857,October 14,Shinee,"""1 of 1""","7,100",
858,October 21,BTS,"""Blood Sweat & Tears""","10,985",
859,October 28,BTS,"""Blood Sweat & Tears""","8,384",
860,November 4,Twice,"""TT""","11,274",
861,November 11,Twice,"""TT""","8,127",
862,November 18,Twice,"""TT""","7,429",
863,November 25,Twice,"""TT""","7,580",
864,December 2,Twice,"""TT""","6,218",
865,December 9,B1A4,"""A Lie""","6,694",
866,December 16,Seventeen,"""Boom Boom""","7,252",
867,December 23,Big Bang,"""Last Dance""","4,720",
—,December 30,Exo,"""For Life""","8,142",
