Episode,Date,Artist,Song,Points,Ref.
—,January 1,BTS,"""Dynamite""","3,904",
"1,057",January 8,BTS,"""Dynamite""","4,447",
"1,058",January 15,NCT U,"""90's Love""","4,620",
"1,059",January 22,(G)I-dle,"""Hwaa""","5,846",
"1,060",January 29,U-Know Yunho,"""Thank U""","5,063",
"1,061",February 5,IU,"""Celebrity""","4,558",
—,February 12,IU,"""Celebrity""","6,394",
"1,062",February 19,Kim Woo Seok,"""Sugar""","5,851",
"1,063",February 26,BTS,"""Dynamite""","9,812",
"1,064",March 5,BTS,"""Dynamite""","4,990",
"1,065",March 12,IU,"""Celebrity""","4,456",
"1,066",March 19,Brave Girls,"""Rollin'""","5,379",
"1,067",March 26,Rosé,"""On the Ground""","6,897",
"1,068",April 2,IU,"""Celebrity""","8,140",
"1,069",April 9,Baekhyun,"""Bambi""","8,009",
"1,070",April 16,IU,"""Lilac""","5,763",
"1,071",April 23,Kang Daniel,"""Antidote""","6,156",
"1,072",April 30,NU'EST,"""Inside Out""","5,446",
"1,073",May 7,Enhypen,"""Drunk-Dazed""","6,275",
"1,074",May 14,Itzy,"""In the Morning""","6,156",
—,May 21,NCT Dream,"""Hot Sauce""","10,607",
"1,075",May 28,NCT Dream,"""Hot Sauce""","9,083",
"1,076",June 4,BTS,"""Butter""","6,326",
"1,077",June 11,TXT,"""0X1=Lovesong (I Know I Love You)""","6,970",
"1,078",June 18,Exo,"""Don't Fight the Feeling""","6,720",
"1,079",June 25,Seventeen,"""Ready to Love""","7,640",
"1,080",July 2,Seventeen,"""Ready to Love""","8,202",
"1,081",July 9,NCT Dream,"""Hello Future""","8,184",
"1,082",July 16,BTS,"""Butter""","11,051",
"1,083",July 23,BTS,"""Permission to Dance""","11,145",
—,July 30,BTS,"""Permission to Dance""","10,437",
—,August 6,D.O.,"""Rose""","6,546",
"1,084",August 13,Astro,"""After Midnight""","4,988",
"1,085",August 20,The Boyz,"""Thrill Ride""","7,810",
"1,086",August 27,Red Velvet,"""Queendom""","5,982",
"1,087",September 3,Stray Kids,"""Thunderous""","6,686",
"1,088",September 10,Lee Mu-jin,"""Traffic Light""","3,631",
"1,089",September 17,Lisa,"""Lalisa""","5,068",
"1,090",September 24,NCT 127,"""Sticker""","4,784",
"1,091",October 1,NCT 127,"""Sticker""","7,930",
"1,092",October 8,Itzy,"""Loco""","6,033",
"1,093",October 15,Aespa,"""Savage""","7,958",
"1,094",October 22,Enhypen,"""Tamed-Dashed""","8,967",
"1,095",October 29,Seventeen,"""Rock With You""","7,387",
"1,096",November 5,Seventeen,"""Rock With You""","9,084",
"1,097",November 12,The Boyz,"""Maverick""","5,302",
"1,098",November 19,Twice,"""Scientist""","4,133",
"1,099",November 26,Monsta X,"""Rush Hour""","4,057",
"1,100",December 3,SF9,"""Trauma""","4,971",
"1,101",December 10,Stray Kids,"""Christmas EveL""","4,620",
—,December 17,Ive,"""Eleven""","4,445",
—,December 24,NCT U,"""Universe (Let's Play Ball)""","7,584",
—,December 31,NCT U,"""Universe (Let's Play Ball)""","6,611",
