Episode,Date,Artist,Song,Points,Ref.
868,January 6,Twice,"""TT""","6,037",
869,January 13,Big Bang,"""Fxxk It""","7,067",
870,January 20,Big Bang,"""Fxxk It""","5,173",
—,January 27,Suzy,"""Pretend""","4,288",
871,February 3,Suzy,"""Pretend""","3,986",
872,February 10,Red Velvet,"""Rookie""","6,275",
873,February 17,Red Velvet,"""Rookie""","6,621",
874,February 24,BTS,"""Spring Day""","13,250",
875,March 3,Twice,"""Knock Knock""","12,175",
876,March 10,Taeyeon,"""Fine""","9,533",
—,March 17,Twice,"""Knock Knock""","6,014",
877,March 24,Got7,"""Never Ever""","8,695",
878,March 31,Highlight,"""Plz Don't Be Sad""","8,502",
879,April 7,Highlight,"""Plz Don't Be Sad""","6,204",
880,April 14,Highlight,"""Plz Don't Be Sad""","5,231",
881,April 21,Teen Top,"""Love Is""","6,189",
882,April 28,Laboum,"""Hwi Hwi""","4,546",
—,May 5,IU,"""Palette""","7,921",
883,May 12,Sechs Kies,"""Be Well""","8,031",
884,May 19,IU,"""Palette""","4,303",
885,May 26,Twice,"""Signal""","11,362",
886,June 2,Seventeen,"""Don't Wanna Cry""","9,627",
887,June 9,Twice,"""Signal""","6,430",
888,June 16,Twice,"""Signal""","6,501",
889,June 23,Hwang Chi-yeul,"""A Daily Song""","6,380",
890,June 30,G-Dragon,"""Untitled, 2014""","7,458",
891,July 7,Mamamoo,"""Yes I Am""","7,641",
892,July 14,Heize,"""You, Clouds, Rain""","7,174",
893,July 21,Red Velvet,"""Red Flavor""","9,383",
894,July 28,Exo,"""Ko Ko Bop""","12,181",
895,August 4,Exo,"""Ko Ko Bop""","12,103",
—,August 11,GFriend,"""Love Whisper""","7,486",
—,August 18,Wanna One,"""Energetic""","10,823",
896,August 25,Wanna One,"""Energetic""","11,014",
897,September 1,Yoon Jong-shin,"""Like It""","7,420",
898,September 8,Yoon Jong-shin,"""Like It""","6,707",
899,September 15,Exo,"""Power""","9,914",
900,September 22,Exo,"""Power""","6,929",
901,September 29,BTS,"""DNA""","12,581",
—,October 6,BTS,"""DNA""","8,876",
902,October 13,BTS,"""DNA""","9,851",
903,October 20,NU'EST W,"""Where You At""","7,153",
904,October 27,BtoB,"""Missing You""","7,526",
905,November 3,Epik High,"""Love Story""","5,562",
906,November 10,Twice,"""Likey""","9,231",
907,November 17,Seventeen,"""Clap""","6,265",
908,November 24,Wanna One,"""Beautiful""","10,828",
909,December 1,Wanna One,"""Beautiful""","6,676",
910,December 8,Minseo,"""Yes""","4,873",
911,December 15,Naul,"""Emptiness In Memory""","5,241",
912,December 22,Twice,"""Heart Shaker""","6,880",
—,December 29,Twice,"""Heart Shaker""","5,592",
