Episode,Date,Artist,Song,Points,Ref.
"1,010",January 3,Red Velvet,"""Psycho""","7,465",
"1,011",January 10,Red Velvet,"""Psycho""","6,649",
"1,012",January 17,SF9,"""Good Guy""","5,185",
—,January 24,Red Velvet,"""Psycho""","4,594",
"1,013",January 31,Zico,"""Any Song""","5,469",
"1,014",February 7,Zico,"""Any Song""","4,490",
"1,015",February 14,GFriend,"""Crossroads""","4,888",
"1,016",February 21,Zico,"""Any Song""","4,006",
"1,017",February 28,BTS,"""On""","9,785",
"1,018",March 6,BTS,"""On""","11,957",
"1,019",March 13,BTS,"""On""","9,188",
"1,020",March 20,BTS,"""On""","5,696",
"1,021",March 27,NCT 127,"""Kick It""","6,915",
"1,022",April 3,Kang Daniel,"""2U""","6,826",
"1,023",April 10,Suho,"""Let's Love""","8,177",
"1,024",April 17,(G)I-dle,"""Oh My God""","5,831",
"1,025",April 24,Apink,"""Dumhdurum""","5,600",
"1,026",May 1,Got7,"""Not By The Moon""","7,308",
"1,027",May 8,NCT Dream,"""Ridin'""","9,123",
"1,028",May 15,Oh My Girl,"""Nonstop""","5,922",
"1,029",May 22,NU'EST,"""I'm in Trouble""","9,167",
"1,030",May 29,NCT 127,"""Punch""","5,474",
"1,031",June 5,Baekhyun,"""Candy""","8,236",
"1,032",June 12,Twice,"""More & More""","9,408",
"1,033",June 19,Twice,"""More & More""","4,791",
"1,034",June 26,Iz*One,"""Secret Story of the Swan""","7,890",
"1,035",July 3,Seventeen,"""Left & Right""","11,579",
"1,036",July 10,Blackpink,"""How You Like That""","4,981",
"1,037",July 17,Red Velvet – Irene & Seulgi,"""Monster""","6,467",
"1,038",July 24,Exo-SC,"""1 Billion Views""","6,431",
"1,039",July 31,Blackpink,"""How You Like That""","6,146",
"1,040",August 7,Hwasa,"""María""","3,889",
—,August 14,Kang Daniel,"""Who U Are""","6,248",
"1,041",August 21,Hwasa,"""María""","3,498",
"1,042",August 28,Itzy,"""Not Shy""","6,843",
"1,043",September 4,BTS,"""Dynamite""","6,569",
"1,044",September 11,BTS,"""Dynamite""","7,454",
"1,045",September 18,BTS,"""Dynamite""","6,963",
"1,046",September 25,BTS,"""Dynamite""","7,099",
—,October 2,BTS,"""Dynamite""","6,341",
"1,047",October 9,BTS,"""Dynamite""","6,532",
"1,048",October 16,Blackpink,"""Lovesick Girls""","11,562",
"1,049",October 23,NCT U,"""Make A Wish (Birthday Song)""","7,876",
"1,050",October 30,Seventeen,"""Home;Run""","10,171",
"1,051",November 6,Twice,"""I Can't Stop Me""","5,420",
"1,052",November 13,BTS,"""Dynamite""","4,371",
"1,053",November 20,BTS,"""Dynamite""","4,505",
"1,054",November 27,BTS,"""Dynamite""","11,636",
"1,055",December 4,BTS,"""Dynamite""","10,014",
"1,056",December 11,BTS,"""Dynamite""","4,250",
—,December 18,Iz*One,"""Panorama""","8,074",
—,December 25,BTS,"""Dynamite""","3,570",
