Episode,Date,Artist,Song,Points,Ref.
768,January 2,Exo,"""December, 2014 (The Winter's Tale)""","4,924",
769,January 9,EXID,"""Up & Down""","5,054",
770,January 16,EXID,"""Up & Down""","4,224",
771,January 23,Jonghyun,"""Déjà-Boo""","8,835",
772,January 30,Jung Yong-hwa,"""One Fine Day""","7,810",
773,February 6,Davichi,"""Cry Again""","5,748",
774,February 13,Jung Yong-hwa,"""One Fine Day""","5,799",
—,February 20,Naul,"""You From The Same Time""","6,541",
775,February 27,Niel,"""Lovekiller (Bad Girl)""","6,226",
776,March 6,VIXX,"""Love Equation""","8,963",
777,March 13,Shinhwa,"""Sniper (Target)""","7,614",
778,March 20,Super Junior-D&E,"""Growing Pains""","6,442",
779,March 27,Red Velvet,"""Ice Cream Cake""","5,156",
780,April 3,F.T. Island,"""Pray""","4,454",
781,April 10,Exo,"""Call Me Baby""","12,681",
782,April 17,Exo,"""Call Me Baby""","10,525",
783,April 24,Exo,"""Call Me Baby""","8,182",
784,May 1,Exo,"""Call Me Baby""","7,746",
785,May 8,BTS,"""I Need U""","5,973",
786,May 15,Big Bang,"""Loser""","8,999",
787,May 22,Big Bang,"""Loser""","6,277",
788,May 29,Shinee,"""View""","7,297",
789,June 5,Shinee,"""View""","8,272",
790,June 12,Exo,"""Love Me Right""","10,595",
791,June 19,Exo,"""Love Me Right""","8,084",
792,June 26,Baek A-yeon,"""Shouldn't Have""","5,907",
793,July 3,Sistar,"""Shake It""","8,180",
794,July 10,Sistar,"""Shake It""","7,762",
795,July 17,Girls' Generation,"""Party""","7,380",
796,July 24,Infinite,"""Bad""","6,770",
797,July 31,Apink,"""Remember""","6,645",
798,August 7,Beast,"""YeY""","9,299",
799,August 14,Shinee,"""Married to the Music""","6,636",
800,August 21,Big Bang,"""Let's Not Fall in Love""","6,755",
801,August 28,Girls' Generation,"""Lion Heart""","5,612",
802,September 4,Girls' Generation,"""Lion Heart""","9,280",
803,September 11,Girls' Generation,"""Lion Heart""","8,235",
804,September 18,Girls' Generation,"""Lion Heart""","6,382",
—,September 25,CNBLUE,"""Cinderella""","6,267",
805,October 2,CNBLUE,"""Cinderella""","5,793",
806,October 9,Im Chang-jung,"""Love Again""","8,113",
807,October 16,Taeyeon,"""I""","8,708",
808,October 23,Taeyeon,"""I""","8,382",
809,October 30,Taeyeon,"""I""","6,007",
810,November 6,f(x),"""4 Walls""","7,105",
811,November 13,f(x),"""4 Walls""","5,836",
812,November 20,VIXX,"""Chained Up""","6,659",
813,November 27,B.A.P,"""Young, Wild & Free""","5,574",
814,December 4,Lee Hong-gi,"""Insensible""","3,919",
815,December 11,BTS,"""Run""","7,799",
816,December 18,Exo,"""Sing for You""","8,372",
817,December 25,Exo,"""Sing for You""","7,607",
