Episode,Date,Artist,Song,Points,Ref.
985,January 6,Winner,"""Millions""","6,453",
986,January 13,Chungha,"""Gotta Go""","8,918",
987,January 20,Apink,"""%% (Eung Eung)""","6,690",
988,January 27,GFriend,"""Sunrise""","7,594",
989,February 3,Seventeen,"""Home""","6,696",
—,February 10,Woody,"""Fire Up""","5,790",
990,February 17,Woody,"""Fire Up""","5,905",
991,February 24,Itzy,"""Dalla Dalla""","7,749",
992,March 3,Itzy,"""Dalla Dalla""","6,955",
993,March 10,Itzy,"""Dalla Dalla""","6,694",
994,March 17,N.Flying,"""Rooftop""","5,657",
995,March 24,Epik High,"""Love Drunk""","7,212",
996,March 31,Mamamoo,"""Gogobebe""","7,249",
997,April 7,Taeyeon,"""Four Seasons""","7,892",
998,April 14,Chen,"""Beautiful Goodbye""","6,007",
999,April 21,Blackpink,"""Kill This Love""","8,163",
"1,000",April 28,BTS,"""Boy with Luv""","11,000",
—,May 5,Twice,"""Fancy""","9,841",
"1,001",May 12,BTS,"""Boy with Luv""","9,679",
"1,002",May 19,BTS,"""Boy with Luv""","8,659",
"1,003",May 26,Blackpink,"""Kill This Love""","6,271",
"1,004",June 2,Got7,"""Eclipse""","5,002",
"1,005",June 9,Davichi,"""Unspoken Words""","5,483",
"1,006",June 16,Lee Hi,"""No One""","6,516",
"1,007",June 23,Kim Na-young,"""To Be Honest""","5,953",
—,June 30,Red Velvet,"""Zimzalabim""","8,012",
"1,008",July 7,Chungha,"""Snapping""","8,565",
"1,009",July 14,GFriend,"""Fever""","6,857",
"1,010",July 21,Heize,"""We Don't Talk Together""","6,068",
"1,011",July 28,Ben,"""Thank You for Goodbye""","5,781",
"1,012",August 4,Ben,"""Thank You for Goodbye""","5,806",
"1,013",August 11,Itzy,"""Icy""","8,317",
"1,014",August 18,Oh My Girl,"""Bungee""","6,099",
"1,015",August 25,Itzy,"""Icy""","5,905",
"1,016",September 1,Red Velvet,"""Umpah Umpah""","8,317",
"1,017",September 8,X1,"""Flash""","6,628",
—,September 15,X1,"""Flash""","6,771",
"1,018",September 22,Bolbbalgan4,"""Workaholic""","6,597",
"1,019",September 29,Bolbbalgan4,"""Workaholic""","6,281",
"1,020",October 6,Twice,"""Feel Special""","8,182",
—,October 13,Twice,"""Feel Special""","6,505",
"1,021",October 20,AKMU,"""How Can I Love the Heartbreak, You're the One I Love""","6,166",
—,October 27,AKMU,"""How Can I Love the Heartbreak, You're the One I Love""","6,234",
"1,022",November 3,NU'EST,"""Love Me""","6,024",
"1,023",November 10,Taeyeon,"""Spark""","9,782",
"1,024",November 17,IU,"""Love Poem""","6,099",
"1,025",November 24,Mamamoo,"""Hip""","6,879",
"1,026",December 1,IU,"""Blueming""","9,703",
"1,027",December 8,IU,"""Blueming""","6,521",
"1,028",December 15,IU,"""Blueming""","7,040",
—,December 22,Mamamoo,"""Hip""","6,231",
—,December 29,Mamamoo,"""Hip""","6,330",
"""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week."
