Episode,Date,Artist,Song,Points,Ref.
845,January 3,Turbo,"""Again""","9,089",
846,January 10,Gary,"""Lonely Night""","7,202",
847,January 17,Suzy & Baekhyun,"""Dream""","10,000",
848,January 24,Suzy & Baekhyun,"""Dream""","8,854",
849,January 31,Suzy & Baekhyun,"""Dream""","7,979",
—,February 7,GFriend,"""Rough""","8,881",
850,February 14,Taeyeon,"""Rain""","9,797",
851,February 21,GFriend,"""Rough""","9,386",
852,February 28,GFriend,"""Rough""","9,429",
853,March 6,Mamamoo,"""You're the Best""","9,433",
854,March 13,Mamamoo,"""You're the Best""","9,825",
855,March 20,Lee Hi,"""Breathe""","9,194",
856,March 27,Red Velvet,"""One of These Nights""","9,495",
857,April 3,Got7,"""Fly""","8,938",
858,April 10,Block B,"""A Few Years Later""","8,229",
859,April 17,10cm,"""What the Spring??""","7,660",
860,April 24,Block B,"""Toy""","10,324",
861,May 1,Jung Eun-ji,"""Hopefully Sky""","9,334",
862,May 8,Twice,"""Cheer Up""","10,429",
863,May 15,BTS,"""Fire""","7,487",
864,May 22,Twice,"""Cheer Up""","9,631",
865,May 29,Twice,"""Cheer Up""","9,543",
866,June 5,Baek A-yeon,"""So-So""","7,118",
867,June 12,EXID,"""L.I.E""","7,208",
868,June 19,Exo,"""Monster""","11,000",
869,June 26,Exo,"""Monster""","9,430",
870,July 3,Sistar,"""I Like That""","9,144",
871,July 10,Taeyeon,"""Why""","10,557",
872,July 17,Wonder Girls,"""Why So Lonely""","9,501",
873,July 24,GFriend,"""Navillera""","10,328",
874,July 31,GFriend,"""Navillera""","10,156",
875,August 7,GFriend,"""Navillera""","10,028",
876,August 14,Hyuna,"""How's This?""","7,575",
877,August 21,Blackpink,"""Whistle""","9,030",
878,August 28,Exo,"""Lotto""","10,122",
879,September 4,Exo,"""Lotto""","7,733",
880,September 11,Blackpink,"""Whistle""","7,126",
—,September 18,Im Chang-jung,"""The Love That I Committed""","6,727",
881,September 25,Red Velvet,"""Russian Roulette""","8,226",
882,October 2,Infinite,"""The Eye""","7,744",
883,October 9,Got7,"""Hard Carry""","9,185",
884,October 16,Shinee,"""1 of 1""","8,887",
885,October 23,BTS,"""Blood Sweat & Tears""","10,000",
886,October 30,I.O.I,"""Very Very Very""","8,893",
887,November 6,Twice,"""TT""","9,782",
888,November 13,Twice,"""TT""","9,978",
889,November 20,Twice,"""TT""","10,256",
890,November 27,Blackpink,"""Playing with Fire""","9,083",
891,December 4,Blackpink,"""Playing with Fire""","9,019",
892,December 11,Zico,"""Bermuda Triangle""","7,582",
893,December 18,Heize,"""Star""","6,785",
—,December 25,Big Bang,"""Fxxk It""","9,500",
"""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week."
