Episode,Date,Artist,Song,Points,Ref.
797,January 4,GD X Taeyang,"""Good Boy""","8,136",
798,January 11,EXID,"""Up & Down""","8,346",
799,January 18,Jonghyun,"""Déjà-Boo""","8,218",
800,January 25,Mad Clown,"""Fire""","9,286",
801,February 1,Jung Yong-hwa,"""One Fine Day""","8,106",
802,February 8,Infinite H,"""Pretty""","9,408",
803,February 15,Naul,"""You from the Same Time""","8,525",
—,February 22,4Minute,"""Crazy""","7,526",
804,March 1,4Minute,"""Crazy""","7,975",
805,March 8,VIXX,"""Love Equation""","9,632",
806,March 15,Shinhwa,"""Sniper""","7,708",
807,March 22,Shinhwa,"""Sniper""","7,902",
808,March 29,Red Velvet,"""Ice Cream Cake""","8,504",
809,April 5,Exo,"""Call Me Baby""","10,000",
810,April 12,Exo,"""Call Me Baby""","9,717",
811,April 19,Exo,"""Call Me Baby""","10,051",
812,April 26,EXID,"""Ah Yeah""","9,387",
813,May 3,EXID,"""Ah Yeah""","9,333",
814,May 10,Big Bang,"""Loser""","10,909",
815,May 17,Big Bang,"""Loser""","10,594",
816,May 24,Big Bang,"""Loser""","10,127",
817,May 31,Shinee,"""View""","9,741",
818,June 7,Shinee,"""View""","10,850",
819,June 14,Big Bang,"""Bang Bang Bang""","9,029",
820,June 21,Exo,"""Love Me Right""","9,308",
821,June 28,Big Bang,"""Bang Bang Bang""","9,981",
822,July 5,Sistar,"""Shake It""","9,583",
823,July 12,Big Bang,"""Sober""","9,189",
824,July 19,Girls' Generation,"""Party""","10,229",
825,July 26,Girls' Generation,"""Party""","8,481",
826,August 2,Beast,"""Gotta Go to Work""","7,470",
827,August 9,Beast,"""YeY""","7,154",
828,August 16,Big Bang,"""Let's Not Fall in Love""","9,000",
829,August 23,Big Bang,"""Let's Not Fall in Love""","11,000",
830,August 30,Girls' Generation,"""Lion Heart""","9,561",
831,September 6,Girls' Generation,"""Lion Heart""","10,520",
832,September 13,Girls' Generation,"""Lion Heart""","10,372",
833,September 20,Red Velvet,"""Dumb Dumb""","10,651",
834,September 27,iKon,"""My Type""","9,273",
835,October 4,iKon,"""My Type""","9,160",
—,October 11,Im Chang-jung,"""Love Again""","6,437",
836,October 18,Taeyeon,"""I""","10,140",
837,October 25,Taeyeon,"""I""","8,454",
838,November 1,IU,"""Twenty-Three""","8,208",
839,November 8,IU,"""Twenty-Three""","9,514",
840,November 15,Zico,"""Boys and Girls""","7,777",
—,November 22,Taeyeon,"""I""","6,627",
841,November 29,iKon,"""Apology""","8,301",
842,December 6,EXID,"""Hot Pink""","8,331",
843,December 13,Psy,"""Daddy""","9,077",
844,December 20,Psy,"""Daddy""","8,460",
—,December 27,Psy,"""Daddy""","6,382",
"""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week."
