Episode,Date,Artist,Song,Points,Ref.
894,January 1,Big Bang,"""Fxxk It""","10,186",
895,January 8,Big Bang,"""Fxxk It""","10,500",
896,January 15,Shinhwa,"""Touch""","7,378",
897,January 22,Shinhwa,"""Touch""","8,873",
—,January 29,I.O.I,"""Downpour""","5,558",
898,February 5,Dynamic Duo & Chen,"""Nosedive""","6,703",
899,February 12,Red Velvet,"""Rookie""","8,075",
900,February 19,Red Velvet,"""Rookie""","8,901",
901,February 26,BTS,"""Spring Day""","8,643",
902,March 5,Twice,"""Knock Knock""","9,688",
903,March 12,Twice,"""Knock Knock""","8,976",
—,March 19,Twice,"""Knock Knock""","9,421",
904,March 26,Jung Key,"""Anymore""","5,407",
905,April 2,Highlight,"""Plz Don't Be Sad""","9,274",
906,April 9,IU,"""Through The Night""","7,576",
—,April 16,Winner,"""Really Really""","8,811",
907,April 23,Winner,"""Really Really""","7,836",
908,April 30,IU,"""Palette""","6,250",
909,May 7,IU,"""Palette""","9,790",
910,May 14,IU,"""Palette""","8,691",
911,May 21,Psy,"""I Luv It""","8,546",
912,May 28,Twice,"""Signal""","9,190",
913,June 4,Twice,"""Signal""","10,421",
914,June 11,Twice,"""Signal""","9,499",
915,June 18,G-Dragon,"""Untitled, 2014""","9,000",
916,June 25,G-Dragon,"""Untitled, 2014""","8,768",
917,July 2,Blackpink,"""As If It's Your Last""","7,685",
918,July 9,Blackpink,"""As If It's Your Last""","8,652",
919,July 16,Blackpink,"""As If It's Your Last""","7,944",
920,July 23,Red Velvet,"""Red Flavor""","9,467",
921,July 30,Exo,"""Ko Ko Bop""","8,372",
922,August 6,Exo,"""Ko Ko Bop""","8,346",
923,August 13,GFriend,"""Love Whisper""","8,915",
924,August 20,Wanna One,"""Energetic""","9,965",
925,August 27,Wanna One,"""Energetic""","6,494",
926,September 3,Sunmi,"""Gashina""","6,943",
927,September 10,Sunmi,"""Gashina""","7,385",
928,September 17,Exo,"""Power""","6,483",
—,September 24,Sunmi,"""Gashina""","7,335",
929,October 1,BTS,"""DNA""","7,422",
930,October 8,BTS,"""DNA""","7,421",
931,October 15,BTS,"""DNA""","6,475",
—,October 22,Bolbbalgan4,"""Some""","6,514",
932,October 29,BtoB,"""Missing You""","9,238",
933,November 5,BtoB,"""Missing You""","6,594",
934,November 12,Twice,"""Likey""","9,808",
935,November 19,Twice,"""Likey""","8,744",
936,November 26,Twice,"""Likey""","7,707",
937,December 3,Minseo,"""Yes""","5,936",
938,December 10,Red Velvet,"""Peek-a-Boo""","8,295",
939,December 17,Zion.T,"""Snow""","6,637",
—,December 24,Twice,"""Heart Shaker""","10,236",
—,December 31,Twice,"""Heart Shaker""","8,878",
"""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week.","""—"" denotes an episode did not air that week."
